month,repo_name,event_type,event_frequency,distinct_contributors
2018-03,decred/dcrd,PullRequestEvent,107,7
2018-10,decred/politeia,PushEvent,46,4
2018-09,decred/dcrdesign,IssueCommentEvent,94,7
2018-07,decred/dcrd,PullRequestReviewCommentEvent,82,4
2019-01,decred/decrediton,WatchEvent,3,3
2018-06,decred/dcrd,ForkEvent,11,7
2018-03,decred/dcrdata,IssuesEvent,30,6
2018-05,decred/atomicswap,IssueCommentEvent,10,4
2018-12,decred/dcrdocs,PullRequestReviewCommentEvent,46,5
2018-06,decred/atomicswap,ForkEvent,8,8
2018-05,decred/dcrd,WatchEvent,20,19
2018-03,decred/dcrdata,WatchEvent,13,13
2018-05,decred/politeiagui,PullRequestEvent,44,4
2018-07,decred/dcrweb,IssueCommentEvent,11,5
2018-11,decred/dcrwallet,PullRequestEvent,29,9
2018-12,decred/dcrdocs,IssueCommentEvent,35,9
2018-05,decred/news,PushEvent,10,1
2018-12,decred/authit,PullRequestEvent,17,5
2018-07,decred/dcrweb,PullRequestEvent,9,5
2018-09,decred/dcrwallet,PushEvent,12,2
2018-10,decred/decred-binaries,PullRequestReviewCommentEvent,2,1
2018-08,decred/gominer,PullRequestEvent,7,2
2018-08,decred/decred-binaries,IssuesEvent,2,2
2018-05,decred/dcrseeder,WatchEvent,3,3
2018-04,decred/dcrandroid,DeleteEvent,1,1
2018-08,decred/dcrdata,CreateEvent,8,2
2018-03,decred/dcrstakepool,ForkEvent,4,3
2018-10,decred/decred-php-api,IssueCommentEvent,2,1
2018-05,decred/base58,ForkEvent,2,2
2018-05,decred/dcrstakepool,PullRequestEvent,4,2
2018-10,decred/dcrwebapi,PushEvent,4,1
2018-05,decred/decred-binaries,IssuesEvent,1,1
2018-05,decred/dcrstakepool,WatchEvent,3,3
2019-01,decred/contractor-mgmt,WatchEvent,1,1
2018-12,decred/decred-binaries,IssueCommentEvent,2,1
2018-03,decred/RFPs,WatchEvent,1,1
2018-08,decred/decred-binaries,IssueCommentEvent,1,1
2018-03,decred/dcrtime,DeleteEvent,1,1
2018-09,decred/dcraddrgen,WatchEvent,1,1
2018-05,decred/decred-php-api,WatchEvent,1,1
2018-08,decred/bitcore-wallet-service,ForkEvent,1,1
2018-04,decred/politeia,WatchEvent,1,1
2018-05,decred/dcrstakepool,IssuesEvent,1,1
2018-03,decred/atomicswap,WatchEvent,36,35
2018-03,decred/decrediton,IssuesEvent,82,12
2018-11,decred/dcrdata,IssueCommentEvent,212,14
2018-08,decred/politeia,PushEvent,55,4
2018-07,decred/dcrdata,PullRequestReviewCommentEvent,112,6
2018-12,decred/decrediton,WatchEvent,7,7
2018-07,decred/dcrd,PullRequestEvent,110,8
2018-07,decred/gominer,ForkEvent,3,3
2018-10,decred/dcrwallet,PullRequestEvent,24,8
2018-02,decred/politeiagui,PullRequestEvent,16,5
2018-02,decred/dcrdata,ForkEvent,4,4
2018-10,decred/dcrd,IssueCommentEvent,66,11
2018-12,decred/dcrd,PushEvent,10,1
2018-10,decred/dcrdocs,PullRequestEvent,44,7
2018-06,decred/politeiagui,PushEvent,22,4
2018-09,decred/dcrwallet,PullRequestReviewCommentEvent,21,8
2018-12,decred/dcrd,WatchEvent,11,11
2018-08,decred/dcrwallet,PullRequestReviewCommentEvent,26,4
2018-09,decred/dcrwallet,ForkEvent,5,5
2018-11,decred/decred-binaries,ForkEvent,3,3
2018-11,decred/dcrstakepool,PullRequestReviewCommentEvent,7,1
2018-10,decred/atomicswap,ForkEvent,3,3
2018-04,decred/politeia,IssueCommentEvent,19,5
2018-11,decred/dcrdata,CreateEvent,6,2
2018-11,decred/dcrchainanalysis,MemberEvent,1,1
2018-08,decred/dcrstakepool,ForkEvent,1,1
2018-02,decred/base58,ForkEvent,2,2
2018-07,decred/decrediton,WatchEvent,4,4
2018-10,decred/dcrweb,WatchEvent,1,1
2018-06,decred/dcrdocs,WatchEvent,2,2
