"repo_name","pr_closed_decred","pr_closed_other","pr_closed_internal","pr_merged_decred","pr_merged_internal","pr_merged_other","pr_commits","pr_additions","pr_deletions","forked","pushes","firstevent","lastevent","duration","durationdays","dcr_pr_merged","dcr_pr_commits","dcr_pr_additions","dcr_pr_deletions"
"lukebp/politeia",0,0,0,0,0,0,0,0,0,0,223,"2018-05-03 04:37:11 UTC","2019-01-04 17:36:26 UTC",21304755,493.165625,45,124,20726,9077
"matadormel/dcrd",0,0,0,0,0,0,0,0,0,0,2,"2018-05-31 15:50:27 UTC","2018-06-07 09:10:29 UTC",580802,13.4444907407407,1,6,6,6
"rmykolas/dcrweb",0,0,0,0,0,0,0,0,0,0,98,"2018-05-10 14:17:48 UTC","2019-01-04 07:50:40 UTC",20629972,477.545648148148,21,200,8859,1892
"snadorp/dcrdata",0,0,0,0,0,0,0,0,0,0,1,"2018-07-22 13:10:49 UTC","2018-07-23 11:45:55 UTC",81306,1.88208333333333,1,3,12,2
"DCadenza/dcrdata",0,0,0,0,0,0,0,0,0,0,2,"2018-09-14 11:32:35 UTC","2018-09-14 11:35:39 UTC",184,0.00425925925925926,NA,NA,NA,NA
"JFixby/dcrwallet",0,0,0,0,0,0,0,0,0,0,84,"2018-05-26 19:55:13 UTC","2018-10-10 09:32:41 UTC",11799448,273.13537037037,1,3,3657,3360
"ZeroASIC/dcrdata",0,0,0,0,0,0,0,0,0,0,20,"2018-12-06 02:03:53 UTC","2018-12-26 19:07:29 UTC",1789416,41.4216666666667,2,6,24,3
"chappjc/politeia",0,0,0,0,0,0,0,0,0,0,3,"2018-06-20 23:52:20 UTC","2018-06-29 18:11:09 UTC",757129,17.5261342592593,0,1,85,1
"d1pool/dcrwebapi",0,0,0,0,0,0,0,0,0,0,5,"2018-08-09 16:50:04 UTC","2018-09-17 14:30:57 UTC",3361253,77.8067824074074,2,9,31,1
"dajohi/dcrseeder",0,0,0,0,0,0,0,0,0,0,12,"2018-05-07 16:41:57 UTC","2018-08-29 17:59:02 UTC",9854225,228.107060185185,4,10,702,316
"decebal/politeia",0,0,0,0,0,0,0,0,0,0,6,"2018-05-13 22:43:25 UTC","2018-06-13 15:01:48 UTC",2650703,61.3588657407407,1,12,357,260
"faelv/decrediton",0,0,0,0,0,0,0,0,0,0,9,"2018-10-29 19:16:33 UTC","2018-12-14 17:54:46 UTC",3969493,91.886412037037,3,8,60,22
"flintknap/dcrweb",0,0,0,0,0,0,0,0,0,0,1,"2018-09-23 00:40:31 UTC","2018-09-23 00:40:31 UTC",0,0,0,2,0,2
"githubsands/dcrd",1,0,0,1,0,0,254,15880,13020,0,41,"2018-03-08 19:51:12 UTC","2018-11-17 20:02:29 UTC",21946277,508.015671296296,2,17,214,11
"hunjixin/dcrdocs",0,0,0,0,0,0,0,0,0,0,2,"2018-08-16 16:19:21 UTC","2018-08-17 12:26:57 UTC",72456,1.67722222222222,0,2,48,52
"mrekucci/dcrtime",0,0,0,0,0,0,0,0,0,0,3,"2018-03-13 20:01:41 UTC","2018-03-14 18:06:42 UTC",79501,1.84030092592593,2,6,10,52
"njirap/dcrwallet",0,0,0,0,0,0,0,0,0,0,1,"2018-12-11 07:41:32 UTC","2018-12-11 07:41:32 UTC",0,0,NA,NA,NA,NA
"njirap/dcrwebapi",0,0,0,0,0,0,0,0,0,0,4,"2018-12-03 16:09:30 UTC","2018-12-03 16:41:37 UTC",1927,0.0446064814814815,0,2,0,12
"orthomind/dcrweb",0,0,0,0,0,0,0,0,0,0,5,"2018-04-24 01:34:43 UTC","2018-04-25 01:00:04 UTC",84321,1.951875,2,6,62,102
"raedahgroup/dcrd",0,0,0,0,0,0,0,0,0,0,3,"2018-03-07 21:38:11 UTC","2018-05-11 07:26:09 UTC",5561278,128.733287037037,NA,NA,NA,NA
"sefbkn/dcrwallet",0,0,0,0,0,0,0,0,0,0,17,"2018-11-16 02:42:33 UTC","2019-01-03 03:32:03 UTC",4150170,96.06875,0,7,61,13
"David00/dcrwebapi",0,0,0,0,0,0,0,0,0,0,2,"2018-08-30 20:25:59 UTC","2018-09-01 15:57:43 UTC",156704,3.62740740740741,1,2,12,0
"Jujhar/decrediton",1,0,0,1,0,0,4,340,94,0,23,"2018-07-13 00:20:28 UTC","2018-11-17 16:50:32 UTC",11035804,255.458425925926,5,42,1566,66
"Michae2xl/dcrdocs",0,0,0,0,0,0,0,0,0,0,3,"2019-01-02 03:20:25 UTC","2019-01-02 04:11:45 UTC",3080,0.0712962962962963,NA,NA,NA,NA
"YuboZhang/gominer",0,0,0,0,0,0,0,0,0,0,2,"2018-07-25 02:52:55 UTC","2018-07-25 03:43:12 UTC",3017,0.069837962962963,NA,NA,NA,NA
"Zergity/dcrwallet",0,0,0,0,0,0,0,0,0,0,4,"2018-07-27 09:16:15 UTC","2018-08-06 07:28:35 UTC",857540,19.850462962963,NA,NA,NA,NA
"buck54321/dcrdata",0,0,0,0,0,0,3,158,176,0,103,"2018-10-24 17:02:30 UTC","2018-12-29 12:44:31 UTC",5690521,131.725023148148,25,125,8380,3926
"chainchip/gominer",0,0,0,0,0,0,0,0,0,0,2,"2018-08-01 09:14:27 UTC","2018-08-01 11:08:20 UTC",6833,0.158171296296296,NA,NA,NA,NA
"chappjc/dcrdocker",0,0,0,0,0,0,0,0,0,0,2,"2018-11-29 22:07:09 UTC","2018-12-07 18:47:24 UTC",679215,15.7225694444444,3,7,102,22
"degeri/dcrandroid",0,0,0,0,0,0,0,0,0,0,1,"2018-08-10 02:49:17 UTC","2018-08-10 02:49:17 UTC",0,0,0,1,2,2
"dema501/dcrwebapi",0,0,0,0,0,0,0,0,0,0,1,"2018-10-12 20:15:42 UTC","2018-10-12 20:15:42 UTC",0,0,1,2,12,0
"fulldecent/dcrweb",0,0,0,0,0,0,0,0,0,0,1,"2018-11-07 20:02:14 UTC","2018-11-07 20:02:14 UTC",0,0,0,1,4,4
"horus20/crypto-js",0,0,0,0,0,0,0,0,0,0,1,"2018-08-31 12:03:20 UTC","2018-08-31 12:03:20 UTC",0,0,NA,NA,NA,NA
"hsanjuan/politeia",0,0,0,0,0,0,0,0,0,0,1,"2018-07-23 22:49:53 UTC","2018-07-27 22:36:44 UTC",344811,7.98173611111111,1,2,15,37
"kiahmed/dcrwebapi",0,0,0,0,0,0,0,0,0,0,1,"2018-11-28 21:14:55 UTC","2018-11-28 21:22:08 UTC",433,0.0100231481481481,1,1,6,0
"lealife/dcrwebapi",0,0,0,0,0,0,0,0,0,0,1,"2018-07-06 17:11:17 UTC","2018-07-06 17:11:17 UTC",0,0,1,2,12,0
"lte13/politeiagui",0,0,0,0,0,0,0,0,0,0,1,"2018-06-01 18:36:19 UTC","2018-06-01 18:36:19 UTC",0,0,1,2,10,0
"noahpierau/dcrweb",0,0,0,0,0,0,0,0,0,0,2,"2018-09-02 11:16:28 UTC","2018-12-02 16:52:41 UTC",7886173,182.550300925926,1,3,4,4
"orthomind/dcrdata",0,0,0,0,0,0,0,0,0,0,6,"2018-05-17 07:05:01 UTC","2018-06-06 03:51:03 UTC",1716362,39.7306018518519,1,11,89,30
"orthomind/dcrdocs",0,0,0,0,0,0,0,0,0,0,1,"2018-04-25 06:39:03 UTC","2018-04-25 06:39:03 UTC",0,0,0,1,30,48
"rrecuero/politeia",0,0,0,0,0,0,0,0,0,0,1,"2018-07-02 00:31:49 UTC","2018-07-02 00:32:32 UTC",43,0.00099537037037037,1,4,18,6
"s-ben/politeiagui",0,0,0,0,0,0,0,0,0,0,3,"2018-09-19 18:29:47 UTC","2018-09-23 18:06:56 UTC",344229,7.96826388888889,2,6,70,89
"thinkhero/dcrdocs",0,0,0,0,0,0,0,0,0,0,13,"2018-07-15 12:08:25 UTC","2018-07-16 08:32:06 UTC",73421,1.69956018518519,NA,NA,NA,NA
"tpkeeper/politeia",0,0,0,0,0,0,0,0,0,0,1,"2018-12-18 08:11:01 UTC","2018-12-18 08:13:46 UTC",165,0.00381944444444444,1,2,2,0
"EvertonMelo/authit",0,0,0,0,0,0,0,0,0,0,1,"2019-01-01 02:56:04 UTC","2019-01-01 02:56:04 UTC",0,0,0,1,3,3
"degeri/politeiagui",0,0,0,0,0,0,0,0,0,0,4,"2018-08-21 13:08:03 UTC","2018-09-22 16:34:58 UTC",2777215,64.2873842592593,2,6,7,2
"fridaynext/dcrdata",0,0,0,0,0,0,0,0,0,0,8,"2018-08-07 19:09:56 UTC","2018-09-13 18:30:44 UTC",3194448,73.9455555555556,NA,NA,NA,NA
"gallexis/dcrwallet",0,0,0,0,0,0,0,0,0,0,1,"2018-10-23 18:14:53 UTC","2018-10-23 18:20:17 UTC",324,0.0075,1,2,4,2
"ggoranov/dcrwallet",0,0,0,0,0,0,0,0,0,0,1,"2018-10-17 19:11:56 UTC","2018-11-15 18:08:58 UTC",2505422,57.9958796296296,0,5,117,5
"idris92/dcrandroid",0,0,0,0,0,0,0,0,0,0,2,"2018-03-27 00:08:21 UTC","2018-03-27 00:11:55 UTC",214,0.0049537037037037,0,4,12,0
"lukebp/politeiagui",0,0,0,0,0,0,0,0,0,0,2,"2018-11-19 19:32:51 UTC","2018-11-19 19:39:37 UTC",406,0.00939814814814815,1,2,9,3
"meen080560/dcrdocs",0,0,0,0,0,0,0,0,0,0,3,"2018-05-16 16:36:01 UTC","2018-05-16 16:38:10 UTC",129,0.00298611111111111,NA,NA,NA,NA
"noahpierau/dcrdocs",2,0,0,2,0,0,78,2868,2868,0,8,"2018-05-24 23:47:28 UTC","2018-09-20 09:51:30 UTC",10231442,236.838935185185,2,15,28,22
"picfight/dcrwallet",1,0,0,1,0,0,4,22,36,0,4,"2018-09-05 09:33:36 UTC","2018-09-24 19:03:39 UTC",1675803,38.7917361111111,NA,NA,NA,NA
"rocknet/decrediton",0,0,0,0,0,0,0,0,0,0,2,"2018-11-11 17:01:54 UTC","2018-11-17 16:11:08 UTC",515354,11.9294907407407,1,1,6,4
"saward/politeiagui",0,0,0,0,0,0,0,0,0,0,1,"2018-04-23 06:35:54 UTC","2018-04-23 06:35:54 UTC",0,0,NA,NA,NA,NA
"shweini/decrediton",0,0,0,0,0,0,0,0,0,0,12,"2018-07-24 08:41:40 UTC","2018-08-23 20:33:41 UTC",2634721,60.988912037037,3,16,391,84
"ttneverdies/dcrweb",0,0,0,0,0,0,0,0,0,0,1,"2018-09-01 10:04:26 UTC","2018-09-01 10:04:26 UTC",0,0,1,2,12,12
"vkbcel/insight-api",0,0,0,0,0,0,0,0,0,0,2,"2018-08-23 04:02:59 UTC","2018-08-23 04:08:16 UTC",317,0.00733796296296296,NA,NA,NA,NA
"yumi1117/dcrwebapi",0,0,1,0,1,0,2,12,0,0,4,"2018-08-09 15:05:42 UTC","2018-08-09 16:08:37 UTC",3775,0.0873842592592593,0,11,48,0
"zubairzia0/dcrdocs",0,0,0,0,0,0,0,0,0,0,25,"2018-09-07 00:35:46 UTC","2018-12-20 08:58:53 UTC",9019387,208.782106481481,5,81,61,29
"Ejovwoke/decrediton",0,0,0,0,0,0,0,0,0,0,4,"2018-08-14 14:35:07 UTC","2018-08-18 11:57:36 UTC",336149,7.78122685185185,0,10,48,425
"EvertonMelo/dcrdata",0,0,0,0,0,0,0,0,0,0,1,"2019-01-01 02:56:01 UTC","2019-01-01 02:56:01 UTC",0,0,0,1,2,2
"Guang168/decrediton",0,0,0,0,0,0,0,0,0,0,1,"2018-12-13 14:14:49 UTC","2019-01-02 15:22:26 UTC",1732057,40.093912037037,2,5,236,4
"Jvwalsh/politeiagui",0,0,0,0,0,0,0,0,0,0,1,"2018-04-25 22:41:40 UTC","2018-05-23 16:58:02 UTC",2398582,55.5227314814815,NA,NA,NA,NA
"chrisdannen/dcrdocs",0,0,0,0,0,0,0,0,0,0,2,"2018-05-18 21:08:06 UTC","2018-05-21 15:53:38 UTC",240332,5.56324074074074,1,3,5,0
"cymurs/dcrstakepool",0,0,0,0,0,0,0,0,0,0,3,"2018-06-04 07:14:39 UTC","2018-06-04 09:21:25 UTC",7606,0.176064814814815,NA,NA,NA,NA
"feeleep75/dcrwebapi",0,0,0,0,0,0,0,0,0,0,4,"2018-10-19 16:21:22 UTC","2018-10-22 20:34:27 UTC",274385,6.35150462962963,1,5,12,0
"githubsands/dcrdata",0,0,0,0,0,0,0,0,0,0,13,"2018-04-01 22:24:50 UTC","2018-04-14 21:57:47 UTC",1121577,25.9624305555556,0,7,183,4
"gozart1/politeiagui",0,0,0,0,0,0,0,0,0,0,1,"2018-10-31 03:41:49 UTC","2018-10-31 03:41:49 UTC",0,0,1,2,2,2
"hudovisk/decrediton",0,0,0,0,0,0,0,0,0,0,1,"2018-02-11 17:21:02 UTC","2018-02-11 17:21:02 UTC",0,0,1,2,0,54
"jrick/decred-seeder",0,0,0,0,0,0,0,0,0,0,2,"2018-03-02 17:17:48 UTC","2018-03-06 17:17:49 UTC",345601,8.00002314814815,1,38,244,124
"lsgrep/dcrstakepool",0,0,0,0,0,0,0,0,0,0,3,"2018-11-20 03:48:07 UTC","2018-12-03 04:15:44 UTC",1124857,26.0383564814815,NA,NA,NA,NA
"orthomind/dcrdocker",0,0,2,0,2,0,4,128,8,0,5,"2018-05-22 13:56:54 UTC","2018-05-23 13:35:09 UTC",85095,1.96979166666667,0,8,20,12
"romanornr/dcrseeder",0,0,0,0,0,0,0,0,0,0,1,"2018-05-30 08:34:18 UTC","2018-05-30 08:34:18 UTC",0,0,NA,NA,NA,NA
"saymissme/dcrwebapi",0,0,0,0,0,0,0,0,0,0,1,"2018-02-10 02:58:35 UTC","2018-02-10 02:58:35 UTC",0,0,1,2,10,0
"zhizhongzhiwai/dcrd",0,0,0,0,0,0,0,0,0,0,9,"2018-11-05 07:09:18 UTC","2018-11-07 09:34:26 UTC",181508,4.20157407407407,0,3,3,3
"BernieWalton/bitcore",0,0,0,0,0,0,0,0,0,0,8,"2018-08-27 07:54:15 UTC","2018-08-29 09:53:15 UTC",179940,4.16527777777778,NA,NA,NA,NA
"EvertonMelo/politeia",0,0,0,0,0,0,0,0,0,0,3,"2018-05-08 13:31:06 UTC","2019-01-01 02:55:59 UTC",20528693,475.201226851852,2,6,10,10
"PrimeDominus/dcrdocs",0,0,0,0,0,0,0,0,0,0,3,"2018-09-13 09:33:51 UTC","2018-09-23 06:33:12 UTC",853161,19.7490972222222,2,8,8,4
"RichardRed0x/dcrdocs",0,0,1,0,1,0,56,2172,2682,0,33,"2018-05-26 00:02:58 UTC","2018-11-22 21:19:36 UTC",15632198,361.856435185185,8,61,767,388
"deannolan/atomicswap",0,0,0,0,0,0,0,0,0,0,1,"2018-06-29 14:13:36 UTC","2018-06-29 14:13:36 UTC",0,0,1,2,4,4
"macsleven/dcrandroid",0,0,0,0,0,0,0,0,0,0,46,"2018-02-27 01:12:20 UTC","2018-09-29 21:53:47 UTC",18560487,429.640902777778,15,120,2856,1322
"marco-jardim/bitcore",0,0,0,0,0,0,0,0,0,0,3,"2018-09-29 13:44:23 UTC","2018-09-29 14:11:42 UTC",1639,0.0379398148148148,NA,NA,NA,NA
"okblockchainlab/dcrd",0,0,0,0,0,0,0,0,0,0,5,"2018-08-21 07:53:42 UTC","2018-08-21 08:47:59 UTC",3257,0.0753935185185185,NA,NA,NA,NA
"rrecuero/politeiagui",0,0,0,0,0,0,0,0,0,0,39,"2018-06-30 20:58:24 UTC","2018-07-31 03:54:54 UTC",2616990,60.5784722222222,8,67,1012,451
"the-wunmi/dcrandroid",0,0,0,0,0,0,0,0,0,0,26,"2018-10-14 08:08:06 UTC","2018-12-30 03:18:23 UTC",6639017,153.680949074074,10,32,2982,1139
"RichardRed0x/politeia",0,0,0,0,0,0,0,0,0,0,2,"2018-08-30 22:04:45 UTC","2018-08-30 22:33:33 UTC",1728,0.04,1,3,110,36
"SeaLightHouse/dcrdata",0,0,2,0,2,0,4,58,0,0,31,"2018-06-14 13:44:17 UTC","2018-10-31 12:20:41 UTC",12008184,277.967222222222,4,65,4432,1405
"codemaestro64/dcrdata",0,0,0,0,0,0,0,0,0,0,14,"2018-08-11 20:35:09 UTC","2018-09-01 10:27:06 UTC",1777917,41.1554861111111,3,12,330,107
"degeri/decred-php-api",0,0,0,0,0,0,0,0,0,0,1,"2018-07-31 05:40:47 UTC","2018-07-31 05:40:47 UTC",0,0,0,1,1,1
"derekdkim/politeiagui",0,0,0,0,0,0,0,0,0,0,1,"2018-10-01 21:56:24 UTC","2018-10-01 21:56:24 UTC",0,0,0,1,0,1
"githubsands/dcrwallet",1,0,6,1,6,0,52,3988,2296,0,180,"2018-02-07 19:34:25 UTC","2018-11-17 19:18:22 UTC",24450237,565.977708333333,5,112,1891,177
"jholdstock/decrediton",0,0,0,0,0,0,0,0,0,0,3,"2018-06-14 18:16:48 UTC","2018-12-19 11:42:31 UTC",16223143,375.535717592593,2,6,34,33
"justinsantoro/dcrdocs",0,0,1,0,0,0,6,142,84,0,4,"2018-05-26 14:09:53 UTC","2018-11-02 00:48:15 UTC",13779502,318.969953703704,NA,NA,NA,NA
"orthomind/politeiagui",0,0,0,0,0,0,0,0,0,0,1,"2018-04-23 06:38:09 UTC","2018-04-23 06:38:09 UTC",0,0,1,2,0,2
"oxfn/bitcore-mnemonic",0,0,0,0,0,0,0,0,0,0,2,"2018-05-24 11:11:02 UTC","2018-05-24 11:52:35 UTC",2493,0.0577083333333333,NA,NA,NA,NA
"yanllearnn/atomicswap",0,0,0,0,0,0,0,0,0,0,2,"2018-08-07 10:58:28 UTC","2018-08-09 08:48:05 UTC",164977,3.81891203703704,NA,NA,NA,NA
"Decred-Bitcore/bitcore",0,0,0,0,0,0,0,0,0,0,1,"2019-01-05 00:39:40 UTC","2019-01-05 00:39:40 UTC",0,0,NA,NA,NA,NA
"EvertonMelo/dcrandroid",0,0,0,0,0,0,0,0,0,0,2,"2018-05-08 13:55:43 UTC","2018-07-25 22:21:47 UTC",6769564,156.70287037037,1,4,4,32
"EvertonMelo/decrediton",0,0,0,0,0,0,0,0,0,0,2,"2018-05-08 13:45:29 UTC","2019-01-01 02:55:57 UTC",20527828,475.181203703704,1,4,4,4
"ValexCrypto/atomicswap",1,0,0,1,0,0,4,2968,60,0,2,"2018-05-14 17:14:07 UTC","2018-06-17 02:18:23 UTC",2883856,66.7559259259259,NA,NA,NA,NA
"camus-code/politeiagui",0,0,0,0,0,0,0,0,0,0,75,"2018-09-05 19:01:44 UTC","2019-01-04 18:45:50 UTC",10457046,242.06125,23,70,5138,2940
"dajohi/snew-classic-ui",0,0,0,0,0,0,0,0,0,0,2,"2018-09-22 13:41:20 UTC","2018-12-18 19:18:03 UTC",7540603,174.55099537037,3,6,2207,699
"itswisdomagain/dcrdata",0,0,0,0,0,0,0,0,0,0,23,"2018-09-14 18:47:32 UTC","2018-11-10 06:51:46 UTC",4885454,113.089212962963,2,21,3245,1412
"luoshang722/atomicswap",0,0,0,0,0,0,0,0,0,0,3,"2018-12-04 08:47:32 UTC","2018-12-06 02:29:43 UTC",150131,3.47525462962963,NA,NA,NA,NA
"mobiwolfdev/dcrandroid",0,0,0,0,0,0,0,0,0,0,2,"2018-09-12 08:56:58 UTC","2018-09-12 12:31:32 UTC",12874,0.298009259259259,0,2,306,272
"swap-atomic/atomicswap",0,0,0,0,0,0,0,0,0,0,1,"2018-06-20 19:39:20 UTC","2018-06-20 19:39:20 UTC",0,0,NA,NA,NA,NA
"tnguyen303/politeiagui",0,0,0,0,0,0,0,0,0,0,2,"2018-11-01 04:36:02 UTC","2018-11-08 04:02:33 UTC",602791,13.9534953703704,1,6,30470,10
"JohnOlushola/decrediton",0,0,0,0,0,0,1,1,1,0,1,"2018-08-28 22:37:05 UTC","2018-08-29 06:57:19 UTC",30014,0.694768518518519,1,2,2,2
"X9Developers/atomicswap",0,0,1,0,1,0,4,20,0,0,6,"2018-06-19 14:03:16 UTC","2018-07-16 20:44:07 UTC",2356851,54.5567361111111,NA,NA,NA,NA
"herainyday/dcrstakepool",0,0,0,0,0,0,0,0,0,0,1,"2019-01-03 09:36:30 UTC","2019-01-03 09:36:30 UTC",0,0,NA,NA,NA,NA
"marcopeereboom/politeia",0,0,0,0,0,0,0,0,0,0,4,"2018-10-25 19:09:17 UTC","2018-12-07 16:59:32 UTC",3711015,85.903125,1,3,38,13
"BernieWalton/insight-api",0,0,0,0,0,0,0,0,0,0,5,"2018-08-24 05:17:54 UTC","2018-08-28 06:47:02 UTC",350948,8.1237962962963,NA,NA,NA,NA
"RichardRed0x/politeiagui",0,0,0,0,0,0,0,0,0,0,5,"2018-08-30 22:47:19 UTC","2018-11-01 00:15:55 UTC",5365716,124.206388888889,3,9,390,98
"brunobraga95/politeiagui",0,0,0,0,0,0,0,0,0,0,22,"2018-02-01 01:26:14 UTC","2018-12-10 10:36:19 UTC",26989805,624.76400462963,1,7,958,385
"devwarrior777/atomicswap",0,0,0,0,0,0,0,0,0,0,1,"2018-03-15 09:40:30 UTC","2018-03-20 11:30:11 UTC",438581,10.152337962963,2,4,2498,14
"freethinkingaway/dcrdata",0,0,0,0,0,0,0,0,0,0,26,"2018-05-25 21:55:54 UTC","2018-07-03 05:31:52 UTC",3310558,76.633287037037,0,46,15378,118
"horus20/bitcore-mnemonic",0,0,0,0,0,0,0,0,0,0,1,"2018-08-31 11:38:27 UTC","2018-08-31 11:38:27 UTC",0,0,NA,NA,NA,NA
"igniteeng000/politeiagui",0,0,0,0,0,0,0,0,0,0,2,"2018-02-09 06:41:23 UTC","2018-02-09 07:09:37 UTC",1694,0.039212962962963,1,3,5,5
"markusrichter/dcraddrgen",0,0,0,0,0,0,0,0,0,0,4,"2018-06-13 12:57:46 UTC","2018-06-15 22:47:24 UTC",208178,4.81893518518519,2,5,122,70
"sndurkin/contractor-mgmt",0,0,0,0,0,0,0,0,0,0,7,"2018-08-07 14:17:52 UTC","2018-12-01 04:54:32 UTC",9992200,231.300925925926,NA,NA,NA,NA
"tiagoalvesdulce/politeia",0,0,0,0,0,0,0,0,0,0,20,"2018-06-14 17:54:29 UTC","2018-11-13 17:47:53 UTC",13136004,304.074166666667,9,16,715,180
"JimberSoftware/atomicswap",0,0,0,0,0,0,0,0,0,0,7,"2018-05-03 08:35:43 UTC","2018-07-17 14:36:01 UTC",6501618,150.500416666667,NA,NA,NA,NA
"hermanlim/decred-binaries",0,0,0,0,0,0,0,0,0,0,1,"2018-11-02 01:47:57 UTC","2018-11-02 01:47:57 UTC",0,0,1,2,52,52
"leon-do/crypto-browserify",0,0,0,0,0,0,0,0,0,0,1,"2019-01-03 01:09:36 UTC","2019-01-03 01:13:08 UTC",212,0.00490740740740741,0,2,2,2
"notabugio/snew-classic-ui",0,1,0,0,0,0,4,117,72,0,13,"2018-05-14 01:51:30 UTC","2018-09-03 21:35:40 UTC",9747850,225.644675925926,0,1,707,640
"orthomind/contractor-mgmt",0,0,0,0,0,0,0,0,0,0,1,"2019-01-05 13:46:33 UTC","2019-01-05 13:46:33 UTC",0,0,0,1,237,350
"orthomind/decred-binaries",1,0,0,1,0,0,10,1568,2,0,12,"2018-05-12 05:39:20 UTC","2018-12-02 13:40:26 UTC",17658066,408.751527777778,0,9,108,5
"qtumatomicswap/atomicswap",0,0,0,0,0,0,0,0,0,0,1,"2018-12-11 07:06:09 UTC","2018-12-11 07:06:09 UTC",0,0,0,3,1250,1
"victorgcramos/politeiagui",0,0,0,0,0,0,0,0,0,0,25,"2018-09-12 18:14:22 UTC","2018-12-10 21:10:35 UTC",7703773,178.328078703704,13,108,681,303
"wallclockbuilder/politeia",0,0,0,0,0,0,0,0,0,0,15,"2018-10-01 21:06:10 UTC","2018-10-17 22:11:00 UTC",1386290,32.0900462962963,1,2,85,0
"ejovwokeononunu/decrediton",0,0,0,0,0,0,0,0,0,0,6,"2018-08-18 23:08:01 UTC","2018-08-24 00:59:52 UTC",438711,10.1553472222222,0,5,10,14
"qukuailianyonghu/dcrwebapi",0,0,0,0,0,0,0,0,0,0,3,"2018-05-22 16:18:57 UTC","2018-05-22 17:00:03 UTC",2466,0.0570833333333333,1,6,24,0
"R3VoLuT1OneR/decred-php-api",0,0,0,0,0,0,0,0,0,0,13,"2018-03-09 16:27:46 UTC","2018-03-16 00:40:14 UTC",547948,12.6839814814815,3,7,8690,13
"zhizhongzhiwai/dcrstakepool",0,0,0,0,0,0,0,0,0,0,2,"2018-03-19 03:29:07 UTC","2018-03-19 03:39:45 UTC",638,0.0147685185185185,1,4,8,4
"SergeyMikhlevskiy/dcrandroid",0,0,0,0,0,0,0,0,0,0,83,"2018-09-13 13:36:47 UTC","2018-12-22 10:47:12 UTC",8633425,199.847800925926,9,79,9565,5858
"brunobraga95/snew-classic-ui",0,0,0,0,0,0,0,0,0,0,4,"2018-11-04 18:35:57 UTC","2018-11-05 23:03:19 UTC",102442,2.37134259259259,1,4,86,17
"cruftyoldsysadmin/dcraddrgen",0,0,0,0,0,0,0,0,0,0,9,"2018-04-07 14:58:01 UTC","2018-05-12 08:03:08 UTC",2999107,69.4237731481481,NA,NA,NA,NA
"dajohi/decred-magento-plugin",0,0,0,0,0,0,0,0,0,0,2,"2018-03-13 15:32:52 UTC","2018-03-13 17:40:22 UTC",7650,0.177083333333333,2,4,21,2
"BernieWalton/bitcore-mnemonic",0,0,0,0,0,0,0,0,0,0,1,"2018-08-30 07:00:33 UTC","2018-08-30 07:00:33 UTC",0,0,NA,NA,NA,NA
"victorgcramos/snew-classic-ui",0,0,0,0,0,0,0,0,0,0,3,"2018-10-24 19:04:39 UTC","2018-11-22 19:44:04 UTC",2511565,58.1380787037037,1,7,424,377
"RostyslavAntonyshyn/atomicswap",0,0,0,0,0,0,0,0,0,0,2,"2018-10-26 14:13:57 UTC","2018-10-26 14:18:18 UTC",261,0.00604166666666667,0,2,1246,1
"adigunhammedolalekan/decrediton",0,0,0,0,0,0,0,0,0,0,1,"2018-06-02 04:00:54 UTC","2018-12-24 07:34:09 UTC",17728395,410.379513888889,0,2,2,2
"tiagoalvesdulce/snew-classic-ui",0,0,0,0,0,0,0,0,0,0,9,"2018-03-29 13:56:33 UTC","2018-11-13 15:45:53 UTC",19795760,458.235185185185,13,31,2521,2350
"fernandoabolafio/snew-classic-ui",0,0,0,0,0,0,0,0,0,0,1,"2018-07-14 17:19:12 UTC","2018-07-30 18:47:40 UTC",1387708,32.1228703703704,2,5,67,50
"BernieWalton/bitcore-wallet-client",0,0,0,0,0,0,0,0,0,0,2,"2018-08-30 07:08:41 UTC","2018-08-30 07:45:39 UTC",2218,0.0513425925925926,NA,NA,NA,NA
"BernieWalton/bitcore-wallet-service",0,0,0,0,0,0,0,0,0,0,5,"2018-08-28 09:47:08 UTC","2018-08-29 05:12:37 UTC",69929,1.61872685185185,NA,NA,NA,NA
"ycjmail/dcrd",0,0,0,0,0,0,0,0,0,0,0,"2018-08-15 13:03:33 UTC","2018-08-15 13:03:33 UTC",0,0,NA,NA,NA,NA
"liliango/dcrd",0,0,0,0,0,0,0,0,0,0,0,"2018-12-20 16:07:44 UTC","2018-12-20 16:07:59 UTC",15,0.000347222222222222,NA,NA,NA,NA
"quiz42/gominer",0,0,0,0,0,0,0,0,0,0,0,"2018-03-14 14:37:17 UTC","2018-03-14 14:37:17 UTC",0,0,NA,NA,NA,NA
"influx6/dcrdata",0,0,0,0,0,0,0,0,0,0,0,"2018-03-19 14:16:27 UTC","2018-05-07 17:12:15 UTC",4240548,98.1608333333333,NA,NA,NA,NA
"zubairzia0/dcrd",0,0,0,0,0,0,0,0,0,0,0,"2018-10-22 18:20:44 UTC","2018-10-22 18:20:44 UTC",0,0,NA,NA,NA,NA
"atomicpay/atomicswap",0,0,0,0,0,0,0,0,0,0,0,"2018-12-18 23:11:14 UTC","2018-12-18 23:11:14 UTC",0,0,NA,NA,NA,NA
