"repo_name","pr_closed_decred","pr_closed_other","pr_closed_internal","pr_merged_decred","pr_merged_internal","pr_merged_other","pr_commits","pr_additions","pr_deletions","forked","pushes","firstevent","lastevent","duration","durationdays","dcr_pr_merged","dcr_pr_commits","dcr_pr_additions","dcr_pr_deletions"
"taishan90/decred-binaries",0,0,0,0,0,0,0,0,0,0,0,"2017-12-12 12:52:22 UTC","2017-12-12 12:52:22 UTC",0,0,NA,NA,NA,NA
"CNXTEoEorg/decred-binaries",0,0,0,0,0,0,0,0,0,0,0,"2017-10-14 07:54:39 UTC","2017-10-14 07:54:39 UTC",0,0,NA,NA,NA,NA
"jokyjor/dcrd",0,0,0,0,0,0,0,0,0,0,0,"2017-11-18 09:19:37 UTC","2017-11-18 09:19:37 UTC",0,0,NA,NA,NA,NA
"atriviss/dcrd",0,0,0,0,0,0,0,0,0,0,0,"2017-07-27 19:37:55 UTC","2017-07-27 19:37:55 UTC",0,0,1,2,36,36
"davecgh/copay",0,0,0,0,0,0,0,0,0,0,0,"2017-03-28 06:53:07 UTC","2017-03-28 06:53:07 UTC",0,0,1,2,4,4
"peterzen/dcrd",0,0,0,0,0,0,0,0,0,0,0,"2017-04-27 22:24:22 UTC","2017-04-27 22:24:22 UTC",0,0,1,2,2,2
"dajohi/dcrdocs",0,0,0,0,0,0,0,0,0,0,6,"2017-08-18 18:08:13 UTC","2018-10-31 20:55:41 UTC",37943248,878.315925925926,10,24,632,641
"alexlyp/dcrdocs",0,0,0,0,0,0,0,0,0,0,0,"2017-12-15 17:10:27 UTC","2018-05-10 15:39:43 UTC",12605356,291.790648148148,3,6,55,59
"atweiden/dcrweb",0,0,0,0,0,0,0,0,0,0,0,"2017-02-19 04:06:56 UTC","2017-02-19 04:06:56 UTC",0,0,1,10,10,10
"enviable/dcrweb",0,0,0,0,0,0,0,0,0,0,0,"2017-07-31 01:10:09 UTC","2017-07-31 18:21:08 UTC",61859,1.4319212962963,1,2,6,12
"infertux/dcrweb",0,0,0,0,0,0,0,0,0,0,5,"2017-10-27 05:16:29 UTC","2018-10-07 10:53:39 UTC",29828230,690.468287037037,2,8,154,202
"jolan/dcrwebapi",0,0,0,0,0,0,0,0,0,0,0,"2017-10-25 16:11:44 UTC","2017-10-25 16:11:44 UTC",0,0,0,2,32,0
"teknico/dcrtime",0,0,0,0,0,0,0,0,0,0,0,"2017-10-18 07:13:14 UTC","2017-10-18 07:13:14 UTC",0,0,1,2,24,32
"teknico/gominer",0,0,0,0,0,0,0,0,0,0,0,"2017-10-18 09:02:52 UTC","2017-10-18 09:02:52 UTC",0,0,1,2,24,28
"epaminond/dcrweb",0,0,0,0,0,0,0,0,0,0,0,"2017-10-06 06:19:30 UTC","2017-10-06 06:19:30 UTC",0,0,0,2,2,2
"terki/Paymetheus",0,0,0,0,0,0,0,0,0,0,0,"2017-07-28 09:25:09 UTC","2017-07-28 09:25:09 UTC",0,0,NA,NA,NA,NA
"dajohi/Paymetheus",0,0,0,0,0,0,0,0,0,0,0,"2017-08-15 16:50:26 UTC","2017-08-16 12:59:40 UTC",72554,1.67949074074074,2,4,10,10
"jolan/politeiagui",0,0,0,0,0,0,0,0,0,0,0,"2017-11-15 23:07:08 UTC","2017-11-22 19:16:14 UTC",590946,13.6793055555556,0,2,2,2
"infertux/dcrwallet",0,0,0,0,0,0,0,0,0,0,0,"2017-11-30 08:33:34 UTC","2017-11-30 08:33:34 UTC",0,0,0,3,80,18
"jolan/hardforkdemo",0,0,0,0,0,0,0,0,0,0,0,"2017-02-10 17:11:16 UTC","2017-02-10 17:11:16 UTC",0,0,1,2,8,8
"teknico/atomicswap",0,0,0,0,0,0,0,0,0,0,0,"2017-10-17 12:52:32 UTC","2017-10-17 13:03:11 UTC",639,0.0147916666666667,1,2,20,28
"YSTomar/insight-api",0,0,0,0,0,0,0,0,0,0,0,"2017-11-07 06:18:35 UTC","2017-11-07 06:18:35 UTC",0,0,1,2,2,2
"dnldd/testnetfaucet",0,0,0,0,0,0,0,0,0,0,0,"2017-07-19 21:48:11 UTC","2017-07-19 21:48:11 UTC",0,0,0,2,42,28
"rgeraldes/dcrwallet",0,0,0,0,0,0,0,0,0,0,0,"2017-12-21 01:07:37 UTC","2017-12-21 01:07:37 UTC",0,0,0,2,202,0
"alexlyp/dcr-netstats",0,0,0,0,0,0,0,0,0,0,0,"2017-05-11 15:00:47 UTC","2017-05-11 15:00:47 UTC",0,0,1,2,0,0
"alexlyp/react-select",0,0,0,0,0,0,0,0,0,0,0,"2017-07-14 15:33:41 UTC","2017-07-14 15:33:41 UTC",0,0,NA,NA,NA,NA
"druonysus/decrediton",0,0,0,0,0,0,0,0,0,0,0,"2017-12-31 03:29:14 UTC","2017-12-31 03:29:14 UTC",0,0,1,2,20,0
"teknico/dcrstakepool",0,0,0,0,0,0,0,0,0,0,0,"2017-10-17 14:55:05 UTC","2017-10-17 14:55:05 UTC",0,0,1,4,154,182
"jrick/decred-binaries",0,0,0,0,0,0,0,0,0,0,0,"2017-10-31 16:29:22 UTC","2017-10-31 16:42:30 UTC",788,0.0182407407407407,1,2,4,2
"mverrilli/dcrstakepool",0,0,0,0,0,0,0,0,0,0,0,"2017-02-07 13:56:25 UTC","2017-02-07 14:02:53 UTC",388,0.00898148148148148,NA,NA,NA,NA
"themsquared/dcrstakepool",0,0,0,0,0,0,0,0,0,0,0,"2017-02-11 17:38:43 UTC","2017-02-11 17:38:43 UTC",0,0,NA,NA,NA,NA
"alexlyp/crypto-browserify",0,0,0,0,0,0,0,0,0,0,0,"2017-06-29 19:55:05 UTC","2017-06-29 21:41:28 UTC",6383,0.14775462962963,3,6,1578,12
"jolan/decred-irc-price-bot",0,0,0,0,0,0,0,0,0,0,0,"2017-02-02 16:23:42 UTC","2017-02-02 16:23:42 UTC",0,0,NA,NA,NA,NA
"dajohi/decred-windows-installer",0,0,0,0,0,0,0,0,0,0,0,"2017-08-15 20:43:14 UTC","2017-08-15 22:29:27 UTC",6373,0.147523148148148,2,6,14,14
"BlockLink/dcrwallet",0,0,0,0,0,0,0,0,0,0,0,"2017-10-16 05:12:28 UTC","2017-10-16 05:12:28 UTC",0,0,NA,NA,NA,NA
